ID	Origin	destination
377	666	291
378	923	176
379	818	499
380	529	620
381	882	660
382	386	721
383	331	557
384	262	178
385	745	699
386	161	496
387	658	5
388	384	487
389	226	3
390	210	636
391	465	825
392	465	87
393	160	381
394	659	222
395	366	700
396	131	739
397	156	60
398	34	490
399	199	709
400	737	169
401	467	574
402	853	883
403	304	551
404	198	306
405	352	910
406	278	506
407	761	550
408	705	497
409	5	135
410	88	579
411	56	620
412	151	217
413	447	456
414	654	240
415	672	597
416	143	629
417	739	456
418	833	741
419	759	430
420	578	493
421	249	84
422	175	324
423	828	735
424	116	534
425	722	844
426	799	932
427	47	195
428	447	275
429	659	270
430	790	210
431	493	743
432	189	46
433	600	160
434	201	736
435	200	632
436	537	689
437	4	133
438	406	273
439	50	784
440	75	469
441	25	118
442	67	751
443	323	889
444	248	878
445	462	76
446	266	654
447	660	625
448	721	178
449	702	347
450	232	887
451	397	591
452	839	632
453	824	197
454	680	714
455	658	110
456	741	373
457	45	552
458	279	449
459	239	461
460	287	534
461	716	81
462	829	867
463	579	388
464	306	182
465	658	470
466	715	139
467	878	894
468	476	202
469	422	394
470	449	933
471	747	65
472	159	889
473	415	121
474	475	73
475	478	198
476	580	615
477	157	722
478	587	840
479	658	248
480	307	871
481	860	348
482	93	309
483	65	614
484	529	109
485	767	864
486	491	557
487	535	516
488	464	4
489	817	512
490	394	876
491	930	225
492	43	501
493	614	108
494	764	601
495	683	104
496	739	407
497	224	718
498	829	9
499	795	594
500	49	482
501	638	316
502	668	371
503	195	492
504	895	233
505	21	253
506	171	672
507	388	442
508	133	377
509	247	256
510	530	562
511	505	898
512	606	568
513	278	631
514	196	719
515	159	272
516	571	269
517	849	739
518	797	654
519	523	911
520	719	34
521	42	10
522	655	897
523	658	432
524	640	784
525	75	917
526	594	277
527	335	111
528	245	600
529	67	773
530	871	820
531	122	754
532	104	25
533	886	366
534	780	14
535	871	79
536	546	732
537	911	126
538	399	736
539	576	870
540	17	305
541	6	861
542	387	278
543	356	47
544	263	70
545	854	314
546	235	893
547	17	450
548	224	868
549	838	307
550	457	738
551	167	827
552	140	932
553	895	322
554	755	727
555	793	579
556	298	130
557	870	132
558	340	438
559	51	326
560	858	257
561	382	482
562	465	547
563	178	895
564	201	121
565	115	82
566	408	445
567	559	322
568	176	254
569	268	332
570	141	816
571	222	31
572	709	535
573	850	184
574	12	357
575	875	791
576	341	41
577	736	522
578	55	385
579	420	117
580	385	608
581	23	615
582	429	332
583	196	105
584	324	422
585	644	676
586	377	494
587	390	818
588	137	750
589	462	351
590	392	98
591	859	530
592	470	890
593	161	878
594	402	71
595	574	636
596	281	212
597	581	636
598	12	284
599	864	123
600	20	172
601	811	548
602	575	702
603	246	703
604	543	577
605	446	614
606	412	690
607	478	151
608	577	625
609	153	121
610	517	636
611	606	489
612	56	784
613	889	110
614	815	744
615	107	473
616	751	625
617	535	83
618	149	788
619	631	400
620	563	167
621	432	296
622	69	45
623	530	100
624	201	253
625	562	776
626	62	601
627	283	412
628	705	816
629	78	377
630	7	839
631	598	494
632	231	670
633	94	691
634	719	334
635	595	574
636	562	618
637	9	167
638	196	649
639	251	315
640	770	277
641	663	578
642	206	923
643	682	668
644	614	370
645	746	842
646	569	851
647	402	743
648	168	51
649	114	358
650	190	286
651	601	259
652	678	563
653	181	398
654	290	336
655	81	874
656	425	565
657	282	925
658	336	254
659	395	861
660	367	36
661	321	255
662	433	424
663	469	789
664	816	444
665	637	232
666	143	149
667	182	527
668	642	756
669	550	768
670	68	127
671	69	119
672	865	898
673	572	453
674	99	899
675	562	751
676	819	667
677	381	321
678	93	471
679	169	804
680	11	915
681	225	379
682	237	712
683	623	932
684	364	666
685	608	19
686	705	754
687	355	380
688	412	32
689	512	297
690	287	94
691	97	789
692	63	743
693	250	253
694	103	685
695	415	186
696	294	450
697	666	894
698	850	722
699	411	105
700	747	275
701	125	411
702	129	569
703	23	662
704	501	226
705	88	494
706	549	788
707	326	407
708	437	363
709	574	868
710	813	362
711	909	855
712	303	568
713	112	547
714	718	82
715	60	617
716	333	464
717	166	526
718	402	858
719	152	333
720	387	787
721	526	148
722	782	457
723	783	367
724	532	240
725	772	874
726	682	382
727	862	890
728	763	377
729	307	792
730	895	443
731	779	300
732	323	207
733	307	380
734	848	680
735	194	759
736	395	436
737	843	88
738	476	204
739	249	267
740	892	912
741	783	803
742	345	165
743	471	701
744	755	580
745	540	642
746	546	354
747	49	503
748	434	683
749	845	587
750	224	672
751	633	862
752	91	176
753	732	114
754	255	774
755	421	582
756	242	143
757	903	776
758	649	889
759	159	434
760	823	156
761	114	292
762	122	811
763	179	791
764	52	527
765	490	256
766	146	107
767	899	14
768	173	269
769	853	731
770	818	399
771	893	372
772	932	667
773	458	751
774	300	477
775	836	610
776	803	398
777	822	126
778	420	892
779	809	430
780	790	87
781	49	606
782	892	616
783	344	377
784	219	68
785	309	458
786	331	815
787	209	625
788	433	328
789	643	237
790	455	492
791	110	468
792	540	37
793	101	191
794	326	490
795	164	273
796	574	348
797	386	352
798	795	145
799	762	555
800	338	105
801	196	351
802	750	866
803	426	273
804	191	430
805	329	176
806	933	436
807	630	808
808	557	414
809	466	267
810	648	545
811	813	868
812	110	334
813	590	611
814	173	598
815	780	15
816	890	478
817	215	902
818	661	723
819	662	158
820	810	901
821	500	182
822	870	29
823	209	764
824	911	799
825	458	536
826	771	191
827	775	497
828	7	188
829	9	677
830	85	812
831	252	933
832	254	460
833	77	707
834	482	373
835	532	838
836	294	76
837	501	845
838	428	104
839	418	521
840	737	813
841	844	583
842	722	465
843	695	91
844	170	159
845	758	323
846	569	51
847	860	137
848	461	210
849	905	81
850	617	479
851	434	52
852	34	529
853	453	291
854	180	654
855	750	680
856	261	331
857	281	210
858	385	615
859	685	446
860	304	487
861	451	175
862	252	580
863	237	642
864	436	387
865	719	862
866	281	492
867	11	736
868	926	412
869	494	311
870	187	636
871	816	38
872	7	654
873	636	529
874	782	304
875	250	641
876	660	724
877	241	798
878	442	95
879	703	859
880	321	615
881	35	890
882	147	872
883	817	605
884	736	844
885	698	578
886	770	256
887	554	558
888	151	364
889	890	528
890	687	270
891	177	241
892	782	566
893	634	214
894	843	827
895	704	381
896	11	560
897	690	247
898	625	394
899	643	55
900	245	457
901	415	419
902	539	288
903	137	65
904	503	28
905	604	553
906	96	459
907	259	9
908	224	752
909	434	33
910	536	499
911	719	900
912	49	335
913	12	815
914	478	584
915	745	599
916	736	713
917	500	506
918	744	931
919	320	298
920	301	211
921	644	778
922	65	26
923	529	190
924	626	519
925	275	697
926	393	217
927	380	351
928	590	5
929	283	365
930	822	168
931	588	235
932	239	868
933	463	561
934	652	341
935	835	79
936	726	121
937	731	110
938	201	610
939	515	426
940	443	391
941	909	264
942	710	118
943	13	648
944	489	453
945	910	686
946	845	427
947	476	152
948	888	915
949	922	475
950	175	638
951	824	613
952	71	697
953	669	387
954	195	4
955	512	925
956	770	912
957	354	703
958	211	132
959	199	16
960	788	230
961	700	539
962	491	731
963	849	461
964	831	629
965	391	265
966	301	395
967	103	462
968	643	493
969	735	718
970	535	118
971	729	609
972	660	210
973	38	175
974	147	619
975	721	367
976	117	622
977	45	23
978	197	273
979	676	911
980	320	319
981	70	751
982	606	603
983	182	67
984	38	393
985	560	746
986	903	602
987	271	651
988	571	490
989	900	536
990	794	7
991	868	2
992	65	736
993	383	745
994	22	401
995	724	811
996	338	26
997	87	32
998	294	592
999	575	929
1000	45	726
1001	559	44
1002	127	403
1003	456	854
1004	825	435
1005	310	624
1006	296	884
1007	461	614
1008	726	328
1009	838	731
1010	883	565
1011	645	708
1012	703	72
1013	320	623
1014	190	21
1015	285	500
1016	160	216
1017	270	141
1018	325	408
1019	825	218
1020	184	515
1021	317	825
1022	101	124
1023	410	390
1024	341	120
1025	782	861
1026	757	640
1027	189	180
1028	101	306
1029	139	93
1030	509	632
1031	536	76
1032	813	895
1033	885	39
1034	133	631
1035	413	775
1036	842	615
1037	83	856
1038	501	553
1039	599	160
1040	512	319
1041	287	643
1042	590	695
1043	220	678
1044	462	671
1045	468	789
1046	927	100
1047	488	118
1048	903	560
1049	427	718
1050	608	502
1051	737	888
1052	319	784
1053	680	8
1054	365	82
1055	304	743
1056	503	563
1057	286	492
1058	850	219
1059	190	349
1060	210	391
1061	672	294
1062	142	85
1063	643	231
1064	556	393
1065	518	143
1066	413	872
1067	527	537
1068	489	597
1069	861	362
1070	498	797
1071	745	670
1072	805	413
1073	425	270
1074	925	425
1075	265	469
1076	713	412
1077	344	740
1078	404	713
1079	703	910
1080	797	469
1081	502	581
1082	35	380
1083	698	209
1084	860	928
1085	91	741
1086	37	865
1087	706	903
1088	782	426
1089	424	554
1090	595	389
1091	407	533
1092	714	832
1093	273	142
1094	901	803
1095	462	752
1096	89	51
1097	343	264
1098	606	93
1099	237	411
1100	700	386
1101	357	375
1102	625	581
1103	552	750
1104	919	298
1105	116	376
1106	405	705
1107	154	534
1108	802	311
1109	335	143
1110	698	58
1111	115	762
1112	66	237
1113	158	799
1114	439	423
1115	228	28
1116	233	674
1117	922	62
1118	393	767
1119	763	744
1120	15	592
1121	823	370
1122	407	433
1123	337	74
1124	157	255
1125	429	431
1126	250	636
1127	490	175
1128	678	281
1129	510	170
1130	248	480
1131	752	774
1132	108	367
1133	933	874
1134	626	803
1135	201	289
1136	758	154
1137	356	621
1138	394	782
1139	143	210
1140	788	165
1141	629	103
1142	892	81
1143	220	745
1144	407	117
1145	503	748
1146	717	480
1147	845	171
1148	721	530
1149	463	130
1150	653	515
1151	710	129
1152	584	427
1153	115	633
1154	776	828
1155	356	223
1156	894	603
1157	678	41
1158	509	551
1159	257	505
1160	721	676
1161	670	629
1162	913	811
1163	73	745
1164	883	184
1165	612	602
1166	25	283
1167	560	245
1168	776	40
1169	190	69
1170	464	367
1171	559	905
1172	748	361
1173	615	588
1174	635	370
1175	599	360
1176	13	581
1177	68	366
1178	142	550
1179	119	813
1180	601	892
1181	195	527
1182	733	680
1183	494	228
1184	80	104
1185	613	82
1186	426	140
1187	801	72
1188	487	447
1189	380	219
1190	550	731
1191	667	278
1192	499	341
1193	136	334
1194	559	918
1195	467	380
1196	730	65
1197	802	623
1198	169	653
1199	631	176
1200	411	600
1201	128	358
1202	328	542
1203	593	22
1204	820	750
1205	927	383
1206	432	556
1207	343	403
1208	416	709
1209	212	55
1210	625	298
1211	664	635
1212	242	603
1213	684	646
1214	499	517
1215	501	356
1216	658	840
1217	474	646
1218	327	232
1219	573	187
1220	260	362
1221	285	382
1222	770	161
1223	149	804
1224	758	872
1225	220	708
1226	828	907
1227	26	279
1228	100	644
1229	229	557
1230	587	768
1231	749	166
1232	107	826
1233	144	197
1234	271	535
1235	923	656
1236	877	147
1237	630	640
1238	339	147
1239	748	128
1240	195	768
1241	323	384
1242	130	138
1243	902	121
1244	463	306
1245	439	382
1246	738	582
1247	210	239
1248	411	914
1249	54	595
1250	626	880
1251	789	223
1252	148	201
1253	222	432
1254	113	342
1255	133	539
1256	892	472
1257	195	293
1258	514	285
1259	292	616
1260	646	156
1261	654	236
1262	590	20
1263	166	442
1264	743	436
1265	485	677
1266	838	392
1267	344	892
1268	234	554
1269	343	337
1270	162	873
1271	634	101
1272	144	622
1273	560	747
1274	119	703
1275	562	89
1276	394	112
1277	363	700
1278	253	906
1279	664	697
1280	771	255
1281	202	683
1282	838	387
1283	42	791
1284	918	641
1285	171	697
1286	11	16
1287	801	312
1288	430	554
1289	801	867
1290	607	814
1291	740	315
1292	724	522
1293	375	558
1294	838	791
1295	916	273
1296	597	468
1297	719	646
1298	466	223
1299	121	789
1300	360	59
1301	604	838
1302	416	599
1303	271	364
1304	754	224
1305	148	826
1306	266	198
1307	905	371
1308	103	41
1309	490	62
1310	112	905
1311	791	246
1312	150	559
1313	634	156
1314	744	564
1315	781	369
1316	872	270
1317	706	656
1318	869	868
1319	376	605
1320	37	338
1321	408	558
1322	523	225
1323	780	843
1324	184	308
1325	295	771
1326	99	748
1327	316	382
1328	697	71
1329	681	811
1330	52	45
1331	698	46
1332	757	859
1333	887	791
1334	896	464
1335	493	830
1336	517	118
1337	654	490
1338	666	444
1339	543	632
1340	769	96
1341	791	260
1342	683	311
1343	25	897
1344	635	133
1345	802	91
1346	53	398
1347	823	755
1348	274	429
1349	626	448
1350	741	651
1351	426	167
1352	474	773
1353	291	201
1354	915	332
1355	718	544
1356	230	462
1357	145	636
1358	386	382
1359	6	575
1360	207	800
1361	117	285
1362	248	612
1363	728	174
1364	121	832
1365	185	227
1366	665	924
1367	137	909
1368	256	679
1369	349	833
1370	391	604
1371	510	812
1372	836	594
1373	379	115
1374	331	846
1375	650	922
1376	547	933
1377	795	25
1378	922	214
1379	234	174
1380	464	492
1381	410	88
1382	570	311
1383	646	213
1384	794	703
1385	363	655
1386	308	625
1387	19	75
1388	148	910
1389	535	185
1390	673	919
1391	801	560
1392	519	176
1393	152	482
1394	247	166
1395	29	495
1396	410	493
1397	30	600
1398	756	54
1399	574	21
1400	467	507
1401	711	601
1402	296	241
1403	97	61
1404	116	335
1405	408	384
1406	26	115
1407	896	661
1408	288	826
1409	367	117
1410	903	306
1411	854	617
1412	636	532
1413	40	560
1414	359	545
1415	876	154
1416	271	565
1417	74	723
1418	812	255
1419	188	318
1420	840	95
1421	513	47
1422	318	338
1423	339	350
1424	782	875
1425	287	459
1426	214	259
1427	679	545
1428	370	5
1429	913	921
1430	419	779
1431	794	223
1432	758	772
1433	741	244
1434	85	368
1435	13	755
1436	863	289
1437	39	419
1438	711	365
1439	341	707
1440	897	105
1441	260	833
1442	924	504
1443	97	433
1444	846	536
1445	185	598
1446	205	864
1447	919	633
1448	918	739
1449	282	219
1450	640	664
1451	470	250
1452	758	306
1453	778	481
1454	908	637
1455	106	886
1456	640	567
1457	200	132
1458	460	155
1459	522	551
1460	389	620
1461	622	652
1462	436	871
1463	608	240
1464	590	591
1465	772	793
1466	872	293
1467	407	920
1468	620	930
1469	731	250
1470	819	575
1471	386	731
1472	741	158
1473	796	18
1474	264	163
1475	781	823
1476	6	258
1477	160	355
1478	444	43
1479	300	224
1480	890	87
1481	230	732
1482	693	855
1483	488	21
1484	360	917
1485	380	3
1486	911	511
1487	756	678
1488	77	616
1489	499	525
1490	25	755
1491	191	186
1492	767	109
1493	913	790
1494	536	300
1495	95	798
1496	376	30
1497	50	867
1498	123	756
1499	838	263
1500	368	296
1501	682	198
1502	756	318
1503	242	337
1504	98	631
1505	619	884
1506	284	110
1507	798	752
1508	677	449
1509	682	105
1510	594	682
1511	833	664
1512	337	358
1513	816	842
1514	374	237
1515	640	56
1516	753	639
1517	580	181
1518	323	593
1519	340	782
1520	126	358
1521	71	547
1522	110	412
1523	720	560
1524	164	458
1525	845	418
1526	506	255
1527	456	520
1528	661	133
1529	186	359
1530	785	19
1531	508	94
1532	195	412
1533	381	14
1534	474	807
1535	40	912
1536	927	338
1537	416	883
1538	839	902
1539	682	748
1540	331	352
1541	870	727
1542	282	683
1543	7	255
1544	105	229
1545	927	483
1546	107	915
1547	917	313
1548	609	888
1549	557	301
1550	27	527
1551	600	507
1552	639	367
1553	783	74
1554	839	857
1555	218	805
1556	652	380
1557	122	723
1558	474	212
1559	186	23
1560	449	274
1561	211	696
1562	54	6
1563	60	313
1564	522	380
1565	820	633
1566	621	301
1567	841	111
1568	556	83
1569	480	518
1570	392	61
1571	356	502
1572	485	726
1573	416	510
1574	125	687
1575	115	648
1576	659	283
1577	862	412
1578	902	726
1579	275	147
1580	118	122
1581	501	98
1582	174	237
1583	754	137
1584	574	313
1585	464	711
1586	712	216
1587	678	902
1588	234	218
1589	571	73
1590	242	705
1591	278	52
1592	262	146
1593	889	43
1594	706	454
1595	247	447
1596	855	188
1597	290	756
1598	905	927
1599	409	370
1600	192	467
1601	176	317
1602	489	714
1603	415	155
1604	179	719
1605	21	683
1606	663	876
1607	706	539
1608	265	652
1609	488	398
1610	640	27
1611	625	6
1612	825	452
1613	576	51
1614	400	372
1615	698	71
1616	634	344
1617	49	486
1618	932	612
1619	292	433
1620	221	906
1621	848	375
1622	903	659
1623	189	673
1624	423	115
1625	320	816
1626	289	704
1627	769	257
1628	595	531
1629	796	43
1630	763	914
1631	178	660
1632	717	760
1633	43	383
1634	795	146
1635	746	306
1636	503	212
1637	820	605
1638	253	322
1639	755	717
1640	810	445
1641	622	574
1642	349	832
1643	687	134
1644	818	115
1645	217	149
1646	570	301
1647	515	17
1648	493	117
1649	427	836
1650	47	546
1651	564	376
1652	36	155
1653	627	165
1654	256	44
1655	539	241
1656	903	319
1657	709	124
1658	433	494
1659	348	735
1660	422	775
1661	426	714
1662	63	206
1663	123	557
1664	877	49
1665	896	422
1666	128	848
1667	554	929
1668	151	806
1669	522	694
1670	46	875
1671	285	241
1672	470	55
1673	882	15
1674	94	180
1675	404	116
1676	490	577
1677	767	34
1678	680	230
1679	201	197
1680	102	135
1681	803	113
1682	474	729
1683	201	295
1684	308	912
1685	780	684
1686	876	307
1687	807	69
1688	39	479
1689	133	22
1690	700	240
1691	704	243
1692	559	319
1693	269	114
1694	525	791
1695	676	307
1696	861	873
1697	575	145
1698	153	858
1699	23	611
1700	740	365
1701	606	370
1702	453	925
1703	475	765
1704	190	64
1705	710	476
1706	507	627
1707	920	216
1708	849	707
1709	152	567
1710	299	696
1711	155	360
1712	433	273
1713	70	517
1714	112	613
1715	77	493
1716	409	344
1717	672	775
1718	515	553
1719	280	555
1720	543	779
1721	103	430
1722	917	673
1723	183	374
1724	849	382
1725	226	426
1726	812	792
1727	928	304
1728	910	783
1729	12	49
1730	619	65
1731	763	753
1732	852	727
1733	843	828
1734	222	331
1735	666	133
1736	812	420
1737	703	845
1738	687	647
1739	177	464
1740	9	885
1741	156	311
1742	926	354
1743	488	693
1744	15	513
1745	93	2
1746	593	428
1747	61	484
1748	360	750
1749	554	874
1750	204	154
1751	614	810
1752	344	301
1753	47	813
1754	399	53
1755	165	146
1756	718	344
1757	101	378
1758	691	374
1759	139	462
1760	694	193
1761	126	370
1762	753	334
1763	326	880
1764	424	622
1765	556	815
1766	613	287
1767	650	363
1768	44	14
1769	341	700
1770	814	483
1771	282	176
1772	427	600
1773	622	406
1774	531	447
1775	490	136
1776	293	453
1777	744	352
1778	437	491
1779	349	708
1780	760	522
1781	504	553
1782	157	433
1783	376	425
1784	486	295
1785	640	474
1786	532	533
1787	811	924
1788	261	499
1789	170	783
1790	616	414
1791	544	107
1792	872	83
1793	869	313
1794	323	70
1795	662	96
1796	184	927
1797	209	83
1798	263	442
1799	699	493
1800	845	70
1801	737	751
1802	24	152
1803	508	499
1804	919	511
1805	6	363
1806	464	515
1807	711	562
1808	81	557
1809	669	90
1810	433	786
1811	533	64
1812	610	690
1813	299	864
1814	925	353
1815	413	66
1816	913	409
1817	162	194
1818	425	199
1819	743	835
1820	246	441
1821	528	880
1822	451	662
1823	772	123
1824	665	666
1825	900	653
1826	266	186
1827	275	127
1828	684	404
1829	285	661
1830	659	558
1831	876	856
1832	336	628
1833	155	322
1834	264	123
1835	246	257
1836	141	118
1837	269	897
1838	750	145
1839	145	371
1840	822	372
1841	149	22
1842	4	703
1843	834	295
1844	835	207
1845	763	247
1846	668	501
1847	83	847
1848	650	271
1849	30	766
1850	182	319
1851	590	680
1852	352	737
1853	171	554
1854	478	353
1855	638	148
1856	715	342
1857	313	539
1858	574	415
1859	367	712
1860	686	238
1861	730	332
1862	557	462
1863	703	435
1864	274	361
1865	259	455
1866	445	837
1867	156	152
1868	174	235
1869	250	597
1870	553	532
1871	532	355
1872	54	182
1873	129	877
1874	93	596
1875	351	47
1876	795	38
1877	444	200
1878	393	331
1879	692	105
1880	507	318
1881	198	91
1882	199	107
1883	186	172
1884	631	100
1885	121	593
1886	355	883
1887	319	788
1888	582	465
1889	383	252
1890	203	330
1891	586	623
1892	535	320
1893	259	646
1894	21	304
1895	796	729
1896	194	497
1897	267	13
1898	870	544
1899	913	746
1900	700	681
1901	241	574
1902	192	523
1903	319	866
1904	212	499
1905	17	877
1906	749	895
1907	552	453
1908	932	638
1909	806	368
1910	497	722
1911	611	280
1912	905	596
1913	817	893
1914	359	461
1915	694	517
1916	921	462
1917	429	159
1918	715	135
1919	510	800
1920	335	21
1921	7	536
1922	504	15
1923	267	695
1924	607	916
1925	285	775
1926	92	592
1927	623	756
1928	181	854
1929	826	224
1930	848	360
1931	271	793
1932	666	92
1933	759	578
1934	98	481
1935	110	162
1936	628	561
1937	112	722
1938	735	895
1939	400	728
1940	228	105
1941	157	456
1942	233	693
1943	684	479
1944	724	115
1945	299	917
1946	88	96
1947	159	287
1948	662	482
1949	920	253
1950	460	219
1951	871	77
1952	47	917
1953	234	495
1954	769	595
1955	392	880
1956	339	309
1957	378	856
1958	253	604
1959	291	438
1960	743	658
1961	688	343
1962	672	241
1963	486	93
1964	677	241
1965	644	433
1966	40	778
1967	204	517
1968	784	761
1969	438	606
1970	119	842
1971	634	730
1972	927	912
1973	805	238
1974	115	620
1975	48	818
1976	660	537
1977	661	832
1978	151	747
1979	63	784
1980	248	186
1981	514	662
1982	605	130
1983	717	745
1984	246	789
1985	619	490
1986	822	246
1987	317	417
1988	800	528
1989	418	517
1990	178	888
1991	593	440
1992	829	524
1993	621	181
1994	827	308
1995	702	245
1996	762	576
1997	414	220
1998	80	888
1999	67	878
2000	581	35
