ID	Origin	destination
424	803	11
425	356	731
426	667	435
427	3	691
428	280	535
429	99	765
430	444	282
431	343	435
432	774	402
433	671	616
434	92	592
435	420	663
436	111	499
437	117	429
438	265	601
439	819	699
440	587	769
441	822	359
442	328	912
443	424	505
444	75	170
445	843	616
446	665	89
447	593	375
448	403	724
449	478	911
450	105	788
451	446	613
452	655	371
453	396	789
454	123	439
455	923	858
456	229	906
457	358	586
458	747	285
459	711	528
460	53	458
461	260	148
462	550	639
463	91	63
464	656	430
465	605	69
466	308	151
467	24	253
468	434	665
469	696	91
470	384	709
471	469	874
472	658	370
473	353	350
474	368	402
475	273	691
476	685	88
477	145	884
478	352	299
479	413	140
480	29	930
481	573	4
482	163	453
483	744	292
484	456	900
485	905	705
486	819	654
487	718	571
488	36	920
489	226	696
490	494	171
491	394	712
492	359	387
493	604	868
494	876	685
495	29	254
496	222	147
497	651	300
498	762	108
499	886	693
500	19	469
